"","Raw.genus","Raw.species"
"6487","Pogonomyrmex","Pogonomyrmex brevibarbis"
"6488","Plectroctena","Plectroctena conjugata"
"6489","Paedalgus","Paedalgus termitolestes"
"6490","Procryptocerus","Procryptocerus attenuatus"
"6491","Hypoponera","Hypoponera cognata"
"6492","Hypoponera","Hypoponera gracilicornis"
"6493","Pheidole","Pheidole cellarum"
"6494","Engramma",""
"6495","Camponotus","Camponotus sphenoidalis"
"6496","Camponotus","Camponotus gasseri"
"6497","Camponotus","Camponotus socrates"
"6498","Odontomachus","Odontomachus bauri"
"6499","Lasius","Lasius bicornis"
"6500","Cephalotes","Cephalotes laminatus"
"6501","Acantholepis","Acantholepis simplex"
"6502","Camponotus","Camponotus reticulatus"
"6503","Myrmecocystus","Myrmecocystus viaticus"
"6504","Polyrhachis","Polyrhachis bequaerti"
"6505","Paratrechina","Paratrechina vaga"
"6506","Pheidole","Pheidole trachyderma"
"6507","Prionomyrmex","Prionomyrmex janzeni"
"6508","Cataglyphoides","Cataglyphoides intermedius"
"6509","Carebara","Pheidologeton antiquus"
"6510","Ponerites","Ponerites kishenehne"
"6511","Pachycondyla","Bothroponera strigulosa"
"6512","Kempfidris","Kempfidris inusualis"
"6513","Monomorium","Monomorium pharaonis"
"6514","Monomorium","Monomorium dolatu"
"6515","Aphaenogaster","Aphaenogaster cardenai"
"6516","Ocymyrmex","Ocymyrmex phraxus"
"6517","Messor","Messor striatellus"
"6518","Messor","Messor ibericus"
"6519","Stenamma","Stenamma felixi"
"6520","Acanthomyrmex","Acanthomyrmex foveolatus"
"6521","Polyrhachis","Polyrhachis lownei"
"6522","Polyrhachis","Polyrhachis nudata"
"6523","Eutetramorium","Eutetramorium mocquerysi"
"6524","Asphinctopone",""
"6525","Myrmica","Myrmica specularis"
"6526","Diacamma","Diacamma rugosum"
"6527","Tetraponera","Tetraponera bifoveolata"
"6528","Pachycondyla","Pachycondyla tridentata"
"6529","Rhopalothrix",""
"6530","Strumigenys","Strumigenys bryanti"
"6531","Leptogenys","Leptogenys moelleri"
"6532","Leptogenys","Leptogenys varicosa"
"6533","Pheidole","Pheidole bicornis"
"6534","Pheidole","Pheidole pronotalis"
"6535","Podomyrma","Podomyrma micans"
"6536","Crematogaster","Crematogaster perthensis"
"6537","Cataulacus","Cataulacus muticus"
"6538","Platythyrea","Platythyrea modesta"
"6539","Procryptocerus","Procryptocerus striatus"
"6540","Trachymyrmex","Trachymyrmex irmgardae"
"6541","Perissomyrmex","Perissomyrmex monticola"
"6542","Gnamptogenys","Gnamptogenys bufonis"
"6543","Hypoponera","Hypoponera zwaluwenburgi"
"6544","Lioponera","Lioponera nigriventris"
"6545","Camponotus","Camponotus trapeziceps"
"6546","Camponotus","Camponotus sedulus"
"6547","Camponotus","Camponotus habereri"
"6548","Camponotus","Camponotus ominosus"
"6549","Camponotus","Camponotus obliquus"
"6550","Camponotus","Camponotus quadrimaculatus"
"6551","Camponotus","Camponotus novaehollandiae"
"6552","Rogeria","Rogeria stigmatica"
"6553","Azteca","Azteca instabilis"
"6554","Lasius","Lasius longaevus"
"6555","Brachymyrmex","Brachymyrmex coactus"
"6556","Opisthopsis","Opisthopsis pictus"
"6557","Crematogaster","Crematogaster matsumurai"
"6558","Tetramorium","Tetramorium ala"
"6559","Pyramica","Pyramica membranifera"
"6560","Paratrechina","Paratrechina comorensis"
"6561","Polyrhachis","Polyrhachis sulcifera"
"6562","Vollenhovia","Vollenhovia kaselela"
"6563","Haidomyrmex","Haidomyrmex cerberus"
"6564","Melophorus","Melophorus chauliodon"
"6565","Carebara","Carebara demeter"
"6566","Ponera","Ponera tudigong"
"6567","Solenopsis","Solenopsis omana"
"6568","Strumigenys","Strumigenys excisa"
"6569","Pyramica","Pyramica hirashimai"
"6570","Decamorium",""
"6571","Pristomyrmex","Pristomyrmex nitidissimus"
"6572","Aenictus","Aenictus weissi"
"6573","Polyrhachis","Polyrhachis thrinax"
"6574","Polyrhachis","Polyrhachis piliventris"
"6575","Myrmelachista","Myrmelachista gallicola"
"6576","Liometopum","Liometopum miocenicum"
"6577","Technomyrmex","Technomyrmex setosus"
"6578","Strumigenys","Strumigenys dromoshaula"
"6579","Myrmicaria",""
"6580","Asphinctanilloides","Asphinctanilloides anae"
"6581","Acromyrmex","Acromyrmex nobilis"
"6582","Rhytidoponera","Rhytidoponera barnardi"
"6583","Pheidole","Pheidole tetrica"
"6584","Pheidole","Pheidole anastasii"
"6585","Simopone","Simopone laevissima"
"6586","Tetramorium","Tetramorium barryi"
"6587","Phacota",""
"6588","Crematogaster","Crematogaster dahlii"
"6589","Platythyrea","Platythyrea zodion"
"6590","Pseudomyrmex","Pseudomyrmex elongatus"
"6591","Pseudomyrmex","Pseudomyrmex elongatulus"
"6592","Pseudomyrmex","Pseudomyrmex eduardi"
"6593","Camponotus","Camponotus papago"
"6594","Camponotus","Camponotus singularis"
"6595","Myrmecia","Myrmecia pulchra"
"6596","Dorylus","Dorylus nigricans"
