"","Raw.genus","Raw.species"
"1","Formica","Formica creightoni"
"2","Tapinoma","Tapinoma acuminatum"
"3","Terataner","Terataner alluaudi"
"4","Anochetus","Anochetus africanus"
"5","Recurvidris","Recurvidris hebe"
"6","Plagiolepis","Plagiolepis dichroa"
"7","Leptogenys","Leptogenys mactans"
"8","Pheidole","Pheidole capensis"
"9","Tetramorium","Tetramorium concaviceps"
"10","Tetramorium","Tetramorium marginatum"
"11","Oligomyrmex","Oligomyrmex eidmanni"
"12","Crematogaster","Crematogaster perelegans"
"13","Crematogaster","Crematogaster biformis"
"14","Neivamyrmex","Neivamyrmex vicinus"
"15","Neivamyrmex","Neivamyrmex macropterus"
"16","Calomyrmex",""
"17","Dilobocondyla","Dilobocondyla fulva"
"18","Amblyopone","Amblyopone armigera"
"19","Camponotus","Camponotus ligeus"
"20","Camponotus","Camponotus christi"
"21","Camponotus","Camponotus urichi"
"22","Camponotus","Camponotus linnaei"
"23","Dolichoderus","Dolichoderus mesonotalis"
"24","Solenopsis","Solenopsis major"
"25","Myrmecia","Myrmecia fuscipes"
"26","Lasius","Lasius capitatus"
"27","Pheidole","Pheidole megacephala"
"28","Pheidole","Pheidole biconstricta"
"29","Leptothorax","Leptothorax ambiguus"
"30","Crematogaster","Crematogaster brevispinosa"
"31","Crematogaster","Crematogaster natalensis"
"32","Leptothorax","Leptothorax rottenbergii"
"33","Camponotus","Camponotus rufoglaucus"
"34","Strumigenys","Strumigenys odacon"
"35","Pheidole","Pheidole scabriventris"
"36","Technomyrmex","Technomyrmex vitiensis"
"37","Nesomyrmex","Nesomyrmex inhaca"
"38","Atopomyrmex","Atopomyrmex mocquerysi"
"39","Tetramorium","Tetramorium spinosum"
"40","Paratrechina","Paratrechina caeciliae"
"41","Monomorium","Monomorium kelapre"
"42","Monomorium","Monomorium trake"
"43","Myrmecina","Myrmecina mandibularis"
"44","Pristomyrmex",""
"45","Pristomyrmex","Pristomyrmex cribrarius"
"46","Calyptomyrmex","Calyptomyrmex emeryi"
"47","Alloformica","Alloformica flavicornis"
"48","Melissotarsus","Melissotarsus weissi"
"49","Ocymyrmex","Ocymyrmex robecchii"
"50","Tapinoma","Tapinoma silvestrii"
"51","Brachymyrmex","Brachymyrmex gagates"
"52","Polyrhachis","Polyrhachis fortis"
"53","Polyrhachis","Polyrhachis gibba"
"54","Romblonella","Romblonella elysii"
"55","Romblonella","Romblonella yapensis"
"56","Tetraponera","Tetraponera fictrix"
"57","Rhoptromyrmex","Rhoptromyrmex transversinodis"
"58","Anochetus","Anochetus mayri"
"59","Epopostruma","Epopostruma avicula"
"60","Acromyrmex","Acromyrmex laticeps"
"61","Rhytidoponera","Rhytidoponera levior"
"62","Rhytidoponera","Rhytidoponera scabra"
"63","Pheidole","Pheidole dyctiota"
"64","Tetramorium","Tetramorium jauresi"
"65","Tetramorium","Tetramorium doriae"
"66","Tetramorium","Tetramorium amaurum"
"67","Cylindromyrmex","Cylindromyrmex boliviae"
"68","Leptothorax","Leptothorax taivanensis"
"69","Crematogaster","Crematogaster hezaradjatica"
"70","Crematogaster","Crematogaster lucayana"
"71","Amblyopone","Amblyopone oregonensis"
"72","Zasphinctus","Zasphinctus asper"
"73","Eusphinctus","Eusphinctus brunnicornis"
"74","Aenictus","Aenictus turneri"
"75","Camponotus","Camponotus cuauhtemoc"
"76","Camponotus","Camponotus traegaordhi"
"77","Camponotus","Camponotus schmeltzi"
"78","Camponotus","Camponotus tepicanus"
"79","Solenopsis","Solenopsis emeryi"
"80","Brachymyrmex","Brachymyrmex longicornis"
"81","Leptomyrmex","Leptomyrmex erythrocephalus"
"82","Melophorus","Melophorus turneri"
"83","Pheidole","Pheidole arctos"
"84","Pheidole","Pheidole bison"
"85","Crematogaster","Crematogaster brevidentata"
"86","Camponotus","Camponotus maculatus"
"87","Lasius","Lasius latipes"
"88","Neivamyrmex","Neivamyrmex goyahkla"
"89","Camponotus","Camponotus termitarius"
"90","Adelomyrmex","Adelomyrmex anxiocalor"
"91","Melophorus","Melophorus pelecygnathus"
"92","Formosimyrma","Formosimyrma lanyuensis"
"93","Pheidole","Pheidole ferruginea"
"94","Trachymyrmex","Trachymyrmex farinosus"
"95","Pachycondyla","Pachycondyla javana"
"96","Monomorium","Monomorium iyenasu"
"97","Centromyrmex","Centromyrmex hamulatus"
"98","Cardiocondyla","Cardiocondyla koshewnikovi"
"99","Eurhopalothrix","Eurhopalothrix apharogonia"
"100","Anochetus","Anochetus levaillanti"
"101","Pachycondyla","Pachycondyla comorensis"
"102","Myrmicocrypta","Myrmicocrypta unidentata"
"103","Strumigenys","Strumigenys racabura"
"104","Strumigenys","Strumigenys hoplites"
"105","Pheidole","Pheidole rugaticeps"
"106","Pheidole","Pheidole hercules"
"107","Stigmacros","Stigmacros stanleyi"
"108","Tetramorium","Tetramorium proximum"
"109","Tetramorium","Tetramorium thoth"
"110","Iridomyrmex","Iridomyrmex adstringatus"
"111","Hypoponera","Hypoponera ludovicae"
"112","Pseudomyrmex","Pseudomyrmex fiebrigi"
"113","Goniomma","Goniomma collingwoodi"
"114","Camponotus","Camponotus planus"
"115","Camponotus","Camponotus korthalsiae"
"116","Camponotus","Camponotus indeflexus"
"117","Myrmecia","Myrmecia loweryi"
"118","Pheidole","Pheidole tasmaniensis"
"119","Pheidole","Pheidole sulcaticeps"
"120","Monomorium","Monomorium subapterum"
"121","Polyrhachis","Polyrhachis schang"
"122","Leptothorax","Leptothorax unifasciatus"
"123","Nesomyrmex","Nesomyrmex madecassus"
"124","Temnothorax","Temnothorax albipennis"
"125","Technomyrmex","Technomyrmex difficilis"
"126","Eciton","Eciton esenbecki"
"127","Crematogaster","Crematogaster bryophilia"
"128","Carebara","Carebara elongata"
"129","Melophorus","Melophorus canus"
"130","Melophorus","Melophorus vitreus"
"131","Odontomachus","Odontomachus minangkabau"
"132","Melophorus","Melophorus paramorphomenus"
"133","Pheidole","Pheidole ala"
"134","Camponotus","Camponotus macrocephalus"
"135","Temnothorax","Temnothorax rutabulafer"
"136","Formica","Formica strangulata"
"137","Polyrhachis","Polyrhachis venus"
"138","Eciton","Eciton rapax"
"139","Mycocepurus",""
"140","Anochetus","Anochetus siphneus"
"141","Pachycondyla","Pachycondyla lenkoi"
"142","Strumigenys","Strumigenys chernovi"
"143","Proceratium","Proceratium boltoni"
"144","Leptogenys","Leptogenys pubiceps"
"145","Pheidole","Pheidole umbonata"
"146","Tetramorium","Tetramorium wadje"
"147","Oligomyrmex","Oligomyrmex semilaevis"
"148","Crematogaster","Crematogaster impressa"
"149","Crematogaster","Crematogaster egidyi"
"150","Iridomyrmex","Iridomyrmex mirabilis"
"151","Iridomyrmex","Iridomyrmex obscurior"
"152","Cerapachys","Cerapachys nigriventris"
"153","Zasphinctus","Zasphinctus occidentalis"
"154","Camponotus","Camponotus villosus"
"155","Camponotus","Camponotus olivieri"
"156","Camponotus","Camponotus simillimus"
"157","Solenopsis","Solenopsis wasmannii"
"158","Azteca","Azteca pittieri"
"159","Lachnomyrmex",""
"160","Pheidole","Pheidole sexspinosa"
"161","Pheidole","Pheidole proxima"
"162","Hypoponera","Hypoponera spei"
"163","Crematogaster","Crematogaster neuvillei"
"164","Atta","Atta aspersa"
"165","Pyramica","Pyramica baudueri"
"166","Nesomyrmex","Nesomyrmex njengelanga"
"167","Probolomyrmex","Probolomyrmex angusticeps"
"168","Tropidomyrmex","Tropidomyrmex elianae"
"169","Hypoponera","Hypoponera tristis"
"170","Crematogaster","Crematogaster brevispinosa"
"171","Burmomyrma","Burmomyrma rossi"
"172","Pyramica","Pyramica schleeorum"
"173","Meranoplus","Meranoplus crassispina"
"174","Sphinctomyrmex","Sphinctomyrmex caledonicus"
"175","Sericomyrmex","Sericomyrmex saramama"
"176","Tetramorium","Tetramorium aisha"
"177","Pheidole","Pheidole praegrandis"
"178","Monomorium","Monomorium macarthuri"
"179","Monomorium","Monomorium hanneli"
"180","Monomorium","Monomorium orientale"
"181","Cyphomyrmex","Cyphomyrmex salvini"
"182","Cyphomyrmex","Cyphomyrmex vorticis"
"183","Megalomyrmex","Megalomyrmex piriana"
"184","Aenictogiton","Aenictogiton sulcatus"
"185","Polyrhachis","Polyrhachis brutella"
"186","Eurhopalothrix","Eurhopalothrix emeryi"
"187","Tetraponera","Tetraponera ocellata"
"188","Anochetus","Anochetus striatulus"
"189","Rhopalothrix","Rhopalothrix plaumanni"
"190","Pyramica","Pyramica abdita"
"191","Leptogenys","Leptogenys vindicis"
"192","Rhytidoponera","Rhytidoponera cornuta"
"193","Tetramorium","Tetramorium sitefrum"
"194","Crematogaster","Crematogaster vermiculata"
"195","Dorymyrmex","Dorymyrmex jheringi"
"196","Platythyrea","Platythyrea frontalis"
"197","Platythyrea","Platythyrea sinuata"
"198","Neivamyrmex","Neivamyrmex asper"
"199","Neivamyrmex","Neivamyrmex pseudops"
"200","Camponotus","Camponotus arboreus"
"201","Camponotus","Camponotus novaeboracensis"
"202","Camponotus","Camponotus rufoglaucus"
"203","Camponotus","Camponotus ramulorum"
"204","Camponotus","Camponotus nirvanae"
"205","Myrmecia","Myrmecia exigua"
"206","Lasius","Lasius rabaudi"
"207","Monomorium","Monomorium rubriceps"
"208","Crematogaster","Crematogaster minutissima"
"209","Pseudomyrmex","Pseudomyrmex sericeus"
"210","Pheidole","Pheidole unicornis"
"211","Myrmicaria","Myrmicaria eumenoides"
"212","Crematogaster","Crematogaster cisplatinalis"
"213","Mayriella","Mayriella ebbei"
"214","Acantholepis","Acantholepis carbonaria"
"215","Pheidole","Pheidole sparsisculpta"
"216","Pheidole","Pheidole perryorum"
"217","Cardiocondyla","Cardiocondyla longiceps"
"218","Crematogaster","Crematogaster stigmatica"
"219","Centromyrmex","Centromyrmex raptor"
"220","Strumigenys","Strumigenys levana"
"221","Echinopla","Echinopla wardi"
"222","Stenamma","Stenamma picopicucha"
"223","Tetramorium","Tetramorium enkidu"
"224","Odontophotopsis","Odontophotopsis odontoloxia"
"225","Melophorus","Melophorus microtriches"
"226","Camponotus","Camponotus raina"
"227","Leptogenys","Leptogenys fiandry"
"228","Nylanderia","Nylanderia tasmaniensis"
"229","Pheidole","Pheidole parvulogibba"
"230","Camponotus","Camponotus adustus"
"231","Messor","Messor reticuliventris"
"232","Dorylus","Dorylus gaudens"
"233","Polyrhachis","Polyrhachis escherichi"
"234","Eurhopalothrix","Eurhopalothrix philippina"
"235","Strumigenys","Strumigenys hindenburgi"
"236","Lordomyrma",""
"237","Oxyepoecus","Oxyepoecus vivax"
"238","Pheidole","Pheidole zeteki"
"239","Podomyrma","Podomyrma basalis"
"240","Crematogaster","Crematogaster impressiceps"
"241","Pogonomyrmex","Pogonomyrmex abdominalis"
"242","Hypoponera","Hypoponera truncata"
"243","Camponotus","Camponotus olivieri"
"244","Solenopsis","Solenopsis saevissima"
"245","Azteca","Azteca godmani"
"246","Lasius","Lasius grandis"
"247","Lasius","Lasius wittmeri"
"248","Lasius","Lasius balcanicus"
"249","Odontoponera","Odontoponera transversa"
"250","Solenopsis","Solenopsis molesta"
"251","Octostruma","Octostruma limbifrons"
"252","Pheidole","Pheidole zoster"
"253","Camponotus","Camponotus coloratus"
"254","Pheidole","Pheidole fadli"
"255","Pachycondyla","Pachycondyla villosa"
"256","Crematogaster","Crematogaster uruguayensis"
"257","Iridomyrmex","Iridomyrmex oblongiceps"
"258","Myrmica","Myrmica yani"
"259","Iroponera",""
"260","Cardiocondyla","Cardiocondyla itsukii"
"261","Temnothorax","Temnothorax algiricus"
"262","Melophorus","Melophorus setosus"
"263","Strumigenys","Strumigenys mumfordi"
"264","Probolomyrmex","Probolomyrmex dentinodis"
"265","Discothyrea","Discothyrea wakanda"
"266","Syscia","Syscia indica"
"267","Aphaenogaster","Aphaenogaster picea"
"268","Stenamma","Stenamma petiolatum"
"269","Thaumatomyrmex","Thaumatomyrmex cochlearis"
"270","Megalomyrmex","Megalomyrmex myops"
"271","Polyrhachis","Polyrhachis ypsilon"
"272","Eurhopalothrix","Eurhopalothrix cinnamea"
"273","Eciton","Eciton quadriglume"
"274","Technomyrmex","Technomyrmex pilipes"
"275","Technomyrmex","Technomyrmex kohli"
"276","Labidus",""
"277","Rhytidoponera","Rhytidoponera aspera"
"278","Ochetellus","Ochetellus glaber"
"279","Pheidole","Pheidole biolleyi"
"280","Pheidole","Pheidole lamellinoda"
"281","Pheidole","Pheidole melanogaster"
"282","Tetramorium","Tetramorium striolatum"
"283","Crematogaster",""
"284","Crematogaster","Crematogaster himalayana"
"285","Pogonomyrmex","Pogonomyrmex inermis"
"286","Dorymyrmex","Dorymyrmex bossutus"
"287","Neivamyrmex","Neivamyrmex klugii"
"288","Camponotus","Camponotus braunsi"
"289","Camponotus","Camponotus substitutus"
"290","Solenopsis","Solenopsis japonica"
"291","Azteca","Azteca trigona"
"292","Pheidole","Pheidole lignicola"
"293","Lepisiota","Lepisiota frauenfeldi"
"294","Pheidole","Pheidole guayasana"
"295","Royidris","Royidris pulchra"
"296","Formica","Formica pubescens"
"297","Pyramica","Pyramica hoplites"
"298","Pheidole","Pheidole heliosa"
"299","Melophorus","Melophorus parvimolaris"
"300","Pheidole","Pheidole avaratra"
"301","Tetramorium","Tetramorium galaticum"
"302","Discothyrea","Discothyrea oculata"
"303","Anoplolepis","Anoplolepis trimenii"
"304","Polyrhachis","Polyrhachis incerta"
"305","Myrmica","Myrmica luteola"
"306","Anochetus","Anochetus sedilloti"
"307","Pachycondyla","Pachycondyla pachyderma"
"308","Pachycondyla","Pachycondyla obscurans"
"309","Pachycondyla","Pachycondyla emiliae"
"310","Pyramica","Pyramica ohioensis"
"311","Pheidole","Pheidole gertrudae"
"312","Pheidole","Pheidole wolfringi"
"313","Crematogaster","Crematogaster distans"
"314","Cerapachys","Cerapachys muiri"
"315","Cerapachys","Cerapachys humicola"
"316","Echinopla","Echinopla densistriata"
"317","Myrmoteras","Myrmoteras williamsi"
"318","Camponotus","Camponotus heros"
"319","Camponotus","Camponotus aequitas"
"320","Camponotus","Camponotus capperi"
"321","Solenopsis","Solenopsis truncorum"
"322","Azteca","Azteca lattkei"
"323","Azteca","Azteca stigmatica"
"324","Azteca","Azteca muelleri"
"325","Cephalotes","Cephalotes foliaceus"
"326","Turneria","Turneria arbusta"
"327","Hypoponera","Hypoponera scitula"
"328","Cataglyphis","Cataglyphis albicans"
"329","Pheidole","Pheidole floridana"
"330","Crematogaster","Crematogaster castanea"
"331","Acromyrmex","Acromyrmex lundii"
"332","Pheidole","Pheidole ecuadorana"
"333","Hypoponera","Hypoponera defessa"
"334","Pheidole","Pheidole gigaflavens"
"335","Pheidole","Pheidole phanigaster"
"336","Eciton","Eciton coecum"
"337","Hypoponera","Hypoponera quaestio"
"338","Aphaenogaster","Aphaenogaster olympica"
"339","Leptomyrmex","Leptomyrmex relictus"
"340","Carebara","Carebara fayrouzae"
"341","Paraparatrechina","Paraparatrechina splendida"
"342","Sericomyrmex","Sericomyrmex maravalhas"
"343","Proceratium","Proceratium politum"
"344","Pyramica","Pyramica abdita"
"345","Neoponera","Neoponera aenescens"
"346","Tetramorium","Tetramorium leto"
"347","Paratrachymyrmex","Paratrachymyrmex bugnioni"
"348","Formica","Formica fusca"
"349","Formica","Formica rufa"
"350","Sphinctomyrmex","Sphinctomyrmex turneri"
"351","Polyrhachis","Polyrhachis terpsichore"
"352","Romblonella","Romblonella vitiensis"
"353","Diacamma","Diacamma australe"
"354","Tetraponera","Tetraponera liengmei"
"355","Pachycondyla","Pachycondyla leveillei"
"356","Mycetosoritis","Mycetosoritis hartmanni"
"357","Leptogenys","Leptogenys longiscapa"
"358","Leptogenys","Leptogenys exudans"
"359","Ochetellus","Ochetellus punctatissimus"
"360","Pheidole","Pheidole bilimeki"
"361","Pheidole","Pheidole squalida"
"362","Leptothorax","Leptothorax rabaudi"
"363","Crematogaster","Crematogaster censor"
"364","Crematogaster","Crematogaster macracantha"
"365","Crematogaster","Crematogaster scelerata"
"366","Hypoponera","Hypoponera taprobanae"
"367","Camponotus","Camponotus brutus"
"368","Myrmecia","Myrmecia nobilis"
"369","Lasius","Lasius talpa"
"370","Cephalotes","Cephalotes supercilii"
"371","Pachycondyla","Pachycondyla elisae"
"372","Rogeria","Rogeria prominula"
"373","Aretidris","Aretidris buenaventei"
"374","Mycetomoellerius","Mycetomoellerius ixyodus"
"375","Pheidole","Pheidole portalensis"
"376","Pheidole","Pheidole crozieri"
"377","Lordomyrma","Lordomyrma curvata"
"378","Strumigenys","Strumigenys coveri"
"379","Aenictus","Aenictus acerbus"
"380","Formica","Formica longiventris"
"381","Nesomyrmex","Nesomyrmex reticulatus"
"382","Pseudomyrmex","Pseudomyrmex parvulus"
"383","Pheidole","Pheidole probolonotum"
"384","Pheidole","Pheidole miramila"
"385","Pheidole","Pheidole petax"
"386","Leptothorax","Leptothorax augusti"
"387","Monomorium","Monomorium liliuokalanii"
"388","Calyptomyrmex","Calyptomyrmex friederikae"
"389","Ocymyrmex","Ocymyrmex dekerus"
"390","Messor","Messor lobognathus"
"391","Brachymyrmex","Brachymyrmex australis"
"392","Polyrhachis","Polyrhachis cracenta"
"393","Polyrhachis","Polyrhachis oedacantha"
"394","Poecilomyrma","Poecilomyrma senirewae"
"395","Pachycondyla","Pachycondyla eleonorae"
"396","Lordomyrma","Lordomyrma infundibuli"
"397","Leptogenys","Leptogenys antillana"
"398","Rhytidoponera","Rhytidoponera purpurea"
"399","Proformica","Proformica kaszabi"
"400","Pheidole","Pheidole sagana"
"401","Tetramorium","Tetramorium unicum"
"402","Oligomyrmex","Oligomyrmex villiersi"
"403","Cerapachys","Cerapachys desposyne"
"404","Echinopla","Echinopla striata"
"405","Pseudomyrmex","Pseudomyrmex concolor"
"406","Dilobocondyla","Dilobocondyla chapmani"
"407","Leptothorax","Leptothorax albipennis"
"408","Ravavy",""
"409","Camponotus","Camponotus festinus"
"410","Camponotus","Camponotus vividus"
"411","Camponotus","Camponotus distinguendus"
"412","Dolichoderus","Dolichoderus luederwaldti"
"413","Solenopsis","Solenopsis punctaticeps"
"414","Rogeria","Rogeria inermis"
"415","Azteca","Azteca delpini"
"416","Pheidole","Pheidole triconstricta"
"417","Pheidole","Pheidole athertonensis"
"418","Pheidole","Pheidole nitidula"
"419","Pheidole","Pheidole pubiventris"
"420","Pheidole","Pheidole susannae"
"421","Odontomachus","Odontomachus haematodes"
"422","Strumigenys","Strumigenys diota"
"423","Rogeria","Rogeria innotabilis"
"424","Pheidole","Pheidole pidax"
"425","Azteca","Azteca alfari"
"426","Dodous","Dodous trispinosus"
"427","Anochetus","Anochetus wiesiae"
"428","Temnothorax","Temnothorax skwarrae"
"429","Stenamma","Stenamma catracho"
"430","Chimaeridris","Chimaeridris burckhardti"
"431","Harpegnathos",""
"432","Messor","Messor collingwoodi"
"433","Terataner","Terataner transvaalensis"
"434","Baracidris","Baracidris meketra"
"435","Aenictus","Aenictus arya"
"436","Emeryopone","Emeryopone franzi"
"437","Polyrhachis","Polyrhachis robsoni"
"438","Polyrhachis","Polyrhachis croceiventris"
"439","Polyrhachis","Polyrhachis etheli"
"440","Polyrhachis","Polyrhachis ridleyi"
"441","Tetraponera","Tetraponera braunsi"
"442","Anochetus","Anochetus armstrongi"
"443","Anochetus","Anochetus diegensis"
"444","Onychomyrmex","Onychomyrmex mjobergi"
"445","Rhopalothrix","Rhopalothrix isthmica"
"446","Labidus","Labidus truncatidens"
"447","Lepisiota","Lepisiota piliscapa"
"448","Rhytidoponera","Rhytidoponera fuliginosa"
"449","Stigmacros","Stigmacros debilis"
"450","Cylindromyrmex","Cylindromyrmex meinerti"
"451","Acanthomyops","Acanthomyops murphyi"
"452","Leptothorax","Leptothorax wilsoni"
"453","Pogonomyrmex","Pogonomyrmex uruguayensis"
"454","Iridomyrmex","Iridomyrmex dromus"
"455","Cerapachys","Cerapachys binodis"
"456","Gnamptogenys","Gnamptogenys reichenspergeri"
"457","Neivamyrmex","Neivamyrmex harrisii"
"458","Diplomorium","Diplomorium longipenne"
"459","Melophorus","Melophorus laticeps"
"460","Myrmoteras","Myrmoteras brigitteae"
"461","Forelius","Forelius rubriceps"
"462","Camponotus","Camponotus semitestaceus"
"463","Camponotus","Camponotus hermanni"
"464","Camponotus","Camponotus perrisii"
"465","Myrmecia","Myrmecia apicalis"
"466","Papyrius","Papyrius nitidus"
"467","Azteca","Azteca duckei"
"468","Monomorium","Monomorium salomonis"
"469","Aphaenogaster","Aphaenogaster testaceopilosa"
"470","Tetramorium","Tetramorium jedi"
"471","Probolomyrmex","Probolomyrmex longiscapus"
"472","Doronomyrmex","Doronomyrmex pacis"
"473","Myrmecina","Myrmecina wesselensis"
"474","Nylanderia","Nylanderia scintilla"
"475","Camponotus","Camponotus melleus"
"476","Pogonomyrmex","Pogonomyrmex mendozanus"
"477","Pheidole","Pheidole caracalla"
"478","Cataglyphis","Cataglyphis tartessica"
"479","Feroponera","Feroponera ferox"
"480","Pristomyrmex","Pristomyrmex rasnitsyni"
"481","Pristomyrmex","Pristomyrmex minusculus"
"482","Pseudomyrmex","Pseudomyrmex flavicornis-b"
"483","Protalaridris","Protalaridris leponcei"
"484","Tetramorium","Tetramorium mogwai"
"485","Aphaenogaster","Aphaenogaster aktaci"
"486","Monomorium","Monomorium buxtoni"
"487","Pristomyrmex","Pristomyrmex quadridens"
"488","Anoplolepis","Anoplolepis opaciventris"
"489","Aenictus","Aenictus westwoodi"
"490","Strongylognathus","Strongylognathus destefanii"
"491","Dorylus","Dorylus attenuatus"
"492","Polyrhachis","Polyrhachis orsylla"
"493","Pachycondyla","Pachycondyla sulcata"
"494","Myrmicocrypta","Myrmicocrypta collaris"
"495","Strumigenys","Strumigenys emeryi"
"496","Strumigenys","Strumigenys sublonga"
"497","Proceratium","Proceratium compitale"
"498","Leptogenys","Leptogenys kraepelini"
"499","Pheidole","Pheidole sauberi"
"500","Pheidole","Pheidole absurda"
"501","Podomyrma","Podomyrma inermis"
"502","Stigmacros","Stigmacros extreminigra"
"503","Tetramorium","Tetramorium meressei"
"504","Tetramorium","Tetramorium rufescens"
"505","Tetramorium","Tetramorium pauper"
"506","Tetramorium","Tetramorium quadrispinosum"
"507","Tetramorium","Tetramorium aculeatum"
"508","Crematogaster","Crematogaster mesonotalis"
"509","Hypoponera","Hypoponera ceylonensis"
"510","Pseudomyrmex","Pseudomyrmex curacaensis"
"511","Heteroponera","Heteroponera flava"
"512","Myrmoteras","Myrmoteras barbouri"
"513","Neostruma",""
"514","Camponotus","Camponotus crepusculi"
"515","Camponotus","Camponotus nasutus"
"516","Camponotus","Camponotus burgeoni"
"517","Myrmecia","Myrmecia mandibularis"
"518","Cephalotes","Cephalotes jamaicensis"
"519","Aenictus","Aenictus mutatus"
"520","Crematogaster","Crematogaster curvispinosa"
"521","Messor","Messor antennatus"
"522","Carebara","Carebara sodalis"
"523","Cerapachys","Cerapachys collingwoodi"
"524","Strumigenys","Strumigenys labaris"
"525","Vitsika","Vitsika astuta"
"526","Pyramica","Pyramica argiola"
"527","Crematogaster","Crematogaster nawai"
"528","Pachycondyla","Bothroponera planicornis"
"529","Tetramorium","Tetramorium popell"
"530","Rasopone","Rasopone subcubitalis"
"531","Camponotus","Camponotus rufoglaucus"
"532","Leptomyrmex","Leptomyrmex fragilis"
"533","Monomorium","Monomorium triviale"
"534","Monomorium","Monomorium biroi"
"535","Formica","Formica montana"
"536","Aphaenogaster","Aphaenogaster gibbosa"
"537","Stenamma","Stenamma expolitum"
"538","Brachymyrmex","Brachymyrmex oculatus"
"539","Polyrhachis","Polyrhachis pubescens"
"540","Polyrhachis","Polyrhachis dentata"
"541","Diacamma","Diacamma purpureum"
"542","Anochetus","Anochetus gladiator"
"543","Myrmicocrypta","Myrmicocrypta ednaella"
"544","Strumigenys","Strumigenys fairchildi"
"545","Lordomyrma","Lordomyrma azumai"
"546","Lepisiota","Lepisiota alexis"
"547","Pyramica","Pyramica membranifera"
"548","Pyramica","Pyramica creightoni"
"549","Leptogenys","Leptogenys acutirostris"
"550","Crematogaster","Crematogaster misella"
"551","Crematogaster","Crematogaster corticicola"
"552","Crematogaster","Crematogaster bicolor"
"553","Paratrechina","Paratrechina nodifera"
"554","Procryptocerus","Procryptocerus coriarius"
"555","Trachymyrmex","Trachymyrmex opulentus"
"556","Gnamptogenys","Gnamptogenys banksi"
"557","Hypoponera","Hypoponera iheringi"
"558","Epimyrma","Epimyrma adlerzi"
"559","Camponotus","Camponotus nepos"
"560","Camponotus","Camponotus fuscipennis"
"561","Crematogaster","Crematogaster gerstaeckeri"
"562","Crematogaster","Crematogaster brevispinosa"
"563","Pheidole","Pheidole stomachosa"
"564","Pheidole","Pheidole daphne"
"565","Pristomyrmex","Pristomyrmex costatus"
"566","Lachnomyrmex","Lachnomyrmex victori"
"567","Zatania","Zatania albimaculata"
"568","Strumigenys","Strumigenys apios"
"569","Leptothorax","Leptothorax melas"
"570","Crematogaster","Crematogaster levior"
"571","Strumigenys","Strumigenys europs"
"572","Polyergus","Polyergus longicornis"
"573","Macromischoides","Macromischoides aculeatus"
"574","Polyrhachis","Polyrhachis kohli"
"575","Tetramorium","Tetramorium krishnani"
"576","Cardiocondyla","Cardiocondyla indet"
"577","Temnothorax","Temnothorax rugosus"
"578","Monomorium","Monomorium havilandi"
"579","Formica","Formica perpilosa"
"580","Ocymyrmex","Ocymyrmex hirsutus"
"581","Polyrhachis","Polyrhachis injinooi"
"582","Polyrhachis","Polyrhachis rastellata"
"583","Myrmelachista","Myrmelachista arthuri"
"584","Pachycondyla","Pachycondyla darwinii"
"585","Onychomyrmex","Onychomyrmex doddi"
"586","Mesostruma",""
"587","Leptogenys","Leptogenys spandax"
"588","Leptogenys","Leptogenys chelifera"
"589","Pheidole","Pheidole longiceps"
"590","Tetramorium","Tetramorium traegaordhi"
"591","Crematogaster","Crematogaster limata"
"592","Cerapachys","Cerapachys suscitatus"
"593","Cerapachys","Cerapachys luzuriagae"
"594","Hypoponera","Hypoponera tenella"
"595","Neivamyrmex","Neivamyrmex walkerii"
"596","Pseudomyrmex","Pseudomyrmex thecolor"
"597","Acanthostichus","Acanthostichus fuscipennis"
"598","Miccostruma",""
"599","Camponotus","Camponotus phragmaticola"
"600","Camponotus","Camponotus claripes"
"601","Camponotus","Camponotus auropubens"
"602","Ponera","Ponera selenophora"
"603","Ponera","Ponera leae"
"604","Myrmecia","Myrmecia dimidiata"
"605","Lasius","Lasius przewalskii"
"606","Cataglyphis","Cataglyphis albicans"
"607","Pheidole","Pheidole sikorae"
"608","Leptothorax","Leptothorax muscorum"
"609","Prenolepis","Prenolepis imparis"
"610","Monomorium","Monomorium subopacum"
"611","Formica","Formica pratensis"
"612","Pachycondyla","Pachycondyla analis"
"613","Pheidole","Pheidole xyston"
"614","Monomorium","Monomorium chnodes"
"615","Gesomyrmex","Gesomyrmex curiosus"
"616","Polyrhachis","Polyrhachis boltoni"
"617","Pheidole","Pheidole huarache"
"618","Leptothorax","Leptothorax schwarzi"
"619","Monomorium","Monomorium muticum"
"620","Liomyrmex","Liomyrmex gestroi"
"621","Myrmecina","Myrmecina cacabau"
"622","Cardiocondyla","Cardiocondyla nuda"
"623","Cardiocondyla","Cardiocondyla britteni"
"624","Strongylognathus","Strongylognathus chelifer"
"625","Epopostruma","Epopostruma mercurii"
"626","Proceratium","Proceratium terroni"
"627","Proceratium","Proceratium watasei"
"628","Epimyrma","Epimyrma ravouxi"
"629","Leptogenys","Leptogenys buyssoni"
"630","Vombisidris","Vombisidris dryas"
"631","Rhytidoponera","Rhytidoponera rufescens"
"632","Pheidole","Pheidole texana"
"633","Leptothorax","Leptothorax paraxenus"
"634","Platythyrea","Platythyrea lamellosa"
"635","Trachymyrmex","Trachymyrmex isthmicus"
