taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1323762	Acanthomyops creightoni Wing, 1968	1323762	Acanthomyops creightoni Wing, 1968	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Acanthomyops	1323750	Acanthomyops creightoni	1323762	
1323956	Leptothorax hadrumetensis Santschi, 1918	1323956	Leptothorax hadrumetensis Santschi, 1918	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Leptothorax	1323767	Leptothorax hadrumetensis	1323956	
1324154	Leptothorax wheeleri (Mann, 1920)	1324154	Leptothorax wheeleri (Mann, 1920)	7	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Leptothorax	1323767	Leptothorax wheeleri	1324154	
1324666	Crematogaster meijerei Emery, 1911	1324666	Crematogaster meijerei Emery, 1911	7	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Crematogaster	1324306	Crematogaster meijerei	1324666	
1326263	Paedalgus octatus Bolton & Belshaw, 1993	1326263	Paedalgus octatus Bolton & Belshaw, 1993	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Paedalgus	1326262	Paedalgus octatus	1326263	
1326862	Neivamyrmex chamelensis Watkins, 1986	1326862	Neivamyrmex chamelensis Watkins, 1986	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Neivamyrmex	1326810	Neivamyrmex chamelensis	1326862	
1326882	Neivamyrmex fallax Borgmeier, 1953	1326882	Neivamyrmex fallax Borgmeier, 1953	43	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Neivamyrmex	1326810	Neivamyrmex fallax	1326882	
1327263	Myrmoteras bakeri Wheeler, 1919	1327263	Myrmoteras bakeri Wheeler, 1919	24	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Myrmoteras	1327250	Myrmoteras bakeri	1327263	
4504580	Lepisiota caucasica (Emery, 1917)	4504580	Lepisiota caucasica (Emery, 1917)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Lepisiota	1320868	Lepisiota caucasica	4504580	
4675076	Pseudoneoponera Donisthorpe, 1943	4675076	Pseudoneoponera Donisthorpe, 1943	2	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pseudoneoponera	4675076	Pseudoneoponera piliventris		
